"","Genus","mean","median","min","max","prevalence"
"466","Novispirillum",0,0,0,0,3.4
"467","Pelagibius",0,0,0,0.1,8.6
"468","Phaeovibrio",0,0,0,0,3.4
"469","Rhodospirillaceae",0,0,0,0.1,8.6
"470","Thalassobaculum",0,0,0,0,3.4
"471","Thalassospira",0,0,0,0.1,10.3
"472","Geothermobacter",0,0,0,0.1,13.8
"473","Altererythrobacter",0,0,0,0.1,8.6
"474","Porphyrobacter",0,0,0,0,5.2
"475","Novosphingobium",0,0,0,0.3,10.3
"476","Sandaracinobacter",0,0,0,0.1,6.9
"477","Sphingomicrobium",0,0,0,0.1,1.7
"478","Sphingomonas",0,0,0,0.5,10.3
"479","Derxia",0,0,0,0,3.4
"480","Brackiella",0,0,0,0.1,1.7
"481","Parapusillimonas",0,0,0,0.6,1.7
"482","Pusillimonas",0,0,0,1.6,1.7
"483","Burkholderia",0,0,0,0,5.2
"484","Ralstonia",0,0,0,0.2,5.2
"485","Leptothrix",0,0,0,0,6.9
"486","Thiomonas",0,0,0,0.1,3.4
"487","Massilia",0,0,0,0,8.6
"488","Parasutterella",0,0,0,0,3.4
"489","Aquaspirillum",0,0,0,0,3.4
"490","Chromobacterium",0,0,0,0.4,6.9
"491","Neisseria",0,0,0,0,6.9
"492","Vitreoscilla",0,0,0,0,13.8
"493","Methylobacillus",0,0,0,0,5.2
"494","Nitrosomonas",0,0,0,0.1,15.5
"495","Desulfonema",0,0,0,0,3.4
"496","Desulfopila",0,0,0,0.2,27.6
"497","Desulforegula",0,0,0,0,3.4
"498","Desulfohalobium",0,0,0,0.1,12.1
"499","Desulfothermus",0,0,0,0,3.4
"500","Desulfonauticus",0,0,0,0,3.4
"501","Desulfovibrio",0,0,0,0.2,51.7
"502","Lawsonia",0,0,0,0.1,15.5
"503","Desulfuromonas",0,0,0,0.3,6.9
"504","Geobacter",0,0,0,0,15.5
"505","Geopsychrobacter",0,0,0,0,6.9
"506","Anaeromyxobacter",0,0,0,0.4,58.6
"507","Plesiocystis",0,0,0,0.2,41.4
"508","Kofleria",0,0,0,0.1,15.5
"509","Deferrisoma",0,0,0,0,3.4
"510","Desulfomonile",0,0,0,0,3.4
"511","Desulfoglaeba",0,0,0,0,6.9
"512","Desulfosoma",0,0,0,0,10.3
"513","Syntrophorhabdus",0,0,0,0,3.4
"514","Campylobacter",0,0,0,0.4,3.4
"515","Nitratifractor",0,0,0,0,6.9
"516","Lebetimonas",0,0,0,0.1,10.3
"517","Zobellella",0,0,0,0.1,13.8
"518","Ruminobacter",0,0,0,0,17.2
"519","Succinatimonas",0,0,0,0,5.2
"520","Succinimonas",0,0,0,0,3.4
"521","Succinivibrio",0,0,0,0,3.4
"522","Agaribacter",0,0,0,0,3.4
"523","Alishewanella",0,0,0,0.1,13.8
"524","Alkalimarinus",0,0,0,0.2,17.2
